12002, 12407, 12330, 12555, 12272
24281, 24402, 24614, 24924, 24653
48958, 49267, 49286, 49704, 49421
13, 32, 51, 167, 186
19028, 18758, 18874, 19386, 19406
17385, 17104, 16930, 17142, 17366
20714, 20347, 20162, 20181, 20598
1284, 1979, 1322, 1148, 1060
45482, 45791, 45714, 46120, 45752
13, 617, 52, 270, 289
29673, 29692, 29808, 29828, 29847
